type_habit,prix,image_lien,quartier,region
Ensemble,10000,https://images.coinafrique.com/thumb_3748157_uploaded_image1_1655561035.jpg,HLM, Dakar
Ensemblesous-vêtements,3000,https://images.coinafrique.com/thumb_3774517_uploaded_image1_1657107012.jpg,HLM, Dakar
Ensembleshort,10000,https://images.coinafrique.com/thumb_3778788_uploaded_image1_1657363075.jpg,HLM, Dakar
Habits,7000,https://images.coinafrique.com/thumb_3743164_uploaded_image1_1655285826.jpg,HLM, Dakar
Robe,8500,https://images.coinafrique.com/thumb_3743171_uploaded_image1_1655285998.jpg,HLM, Dakar
Habits,10000,https://images.coinafrique.com/thumb_3743156_uploaded_image1_1655285607.jpg,HLM, Dakar
Habits,7000,https://images.coinafrique.com/thumb_3743154_uploaded_image1_1655285521.jpg,HLM, Dakar
Robe,12000,https://images.coinafrique.com/thumb_3743160_uploaded_image1_1655285682.jpg,HLM, Dakar
Habits,7000,https://images.coinafrique.com/thumb_3743151_uploaded_image1_1655285464.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3743122_uploaded_image1_1655284462.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3743117_uploaded_image1_1655284377.jpg,HLM, Dakar
Ensemble,5000,https://images.coinafrique.com/thumb_3778446_uploaded_image1_1657323473.jpg,HLM, Dakar
Ensemblejupe,7000,https://images.coinafrique.com/thumb_3778439_uploaded_image1_1657322888.jpg,HLM, Dakar
Ensemble,4000,https://images.coinafrique.com/thumb_3778433_uploaded_image1_1657322561.jpg,HLM, Dakar
Ensemble,4000,https://images.coinafrique.com/thumb_3778435_uploaded_image1_1657322670.jpg,HLM, Dakar
Robes,4000,https://images.coinafrique.com/thumb_3778436_uploaded_image1_1657322764.jpg,HLM, Dakar
Habits,6000,https://images.coinafrique.com/thumb_3742474_uploaded_image1_1655236119.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3742482_uploaded_image1_1655236311.jpg,HLM, Dakar
Ensemblebébé+,5000,https://images.coinafrique.com/thumb_3773739_uploaded_image1_1657052313.jpg,HLM, Dakar
Peignoirs,8000,https://images.coinafrique.com/thumb_3781038_uploaded_image1_1657571200.jpg,Dakar Plateau, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3742471_uploaded_image1_1655235960.jpg,HLM, Dakar
Robe,4000,https://images.coinafrique.com/thumb_3773735_uploaded_image1_1657052162.jpg,HLM, Dakar
Habits,3500,https://images.coinafrique.com/thumb_3742451_uploaded_image1_1655235409.jpg,HLM, Dakar
Habits,12000,https://images.coinafrique.com/thumb_3742468_uploaded_image1_1655235860.jpg,HLM, Dakar
Habits,10000,https://images.coinafrique.com/thumb_3742447_uploaded_image1_1655235303.jpg,HLM, Dakar
Ensemblehabits,7000,https://images.coinafrique.com/thumb_3742443_uploaded_image1_1655235164.jpg,HLM, Dakar
Ensemblepeignoirpour,10000,https://images.coinafrique.com/thumb_3735826_uploaded_image1_1654860349.jpg,Dakar, Sénégal
Vêtements,6000,https://images.coinafrique.com/thumb_3768713_uploaded_image1_1656778816.jpg,HLM, Dakar
Vêtements,5000,https://images.coinafrique.com/thumb_3718353_uploaded_image1_1653956742.jpg,Dakar, Sénégal
Robes,15000,https://images.coinafrique.com/thumb_3758410_uploaded_image1_1656180793.jpg,Biscuiterie, Dakar
Sousvêtements,1500,https://images.coinafrique.com/thumb_3715721_uploaded_image1_1653759789.jpg,Dakar, Sénégal
Ensemble,3500,https://images.coinafrique.com/thumb_3715720_uploaded_image1_1653759706.jpg,Dakar, Sénégal
Bouboutabaskifilafil,8000,https://images.coinafrique.com/thumb_3748327_uploaded_image1_1655569010.jpg,Ouakam, Dakar
Boubouenfants0à,8000,https://images.coinafrique.com/thumb_3748323_uploaded_image1_1655568941.jpg,Ouakam, Dakar
,4000,https://images.coinafrique.com/thumb_3696815_uploaded_image1_1652610668.jpg,HLM, Dakar
Habits,5000,https://images.coinafrique.com/thumb_3696811_uploaded_image1_1652610569.jpg,HLM, Dakar
Ensemblejupe+taille,13000,https://images.coinafrique.com/thumb_3737365_uploaded_image1_1654951147.jpg,Ouakam, Dakar
