type_chauss,prix,image_lien,quartier,region
Chaussures,10000,https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg,Guediawaye, Dakar
BasketsNike,15000,https://images.coinafrique.com/thumb_3496189_uploaded_image2_1640319435.jpeg,Biscuiterie, Dakar
Chaussuresen,12000,https://images.coinafrique.com/thumb_3495410_uploaded_image1_1640264833.jpg,Grand Yoff, Dakar
Chaussuresdeville,5000,https://images.coinafrique.com/thumb_3493336_uploaded_image1_1640119181.jpg,Keur Massar, Sénégal
Souliers,15000,https://images.coinafrique.com/thumb_3486610_uploaded_image1_1639656374.jpg,Dieuppeul-Derklé, Dakar
Sandalespour,1000,https://images.coinafrique.com/thumb_3481315_uploaded_image1_1639352929.jpg,Patte d'oie, Dakar
Chaussures,12000,https://images.coinafrique.com/thumb_3473971_uploaded_image1_1638920046.jpg,Dakar, Sénégal
Ballerines,10000,https://images.coinafrique.com/thumb_3468451_uploaded_image1_1638628031.jpg,Ouest Foire, Dakar
Chaussettes,9000,https://images.coinafrique.com/thumb_3451771_uploaded_image1_1637718423.jpg,HLM, Dakar
Chaussures,7000,https://images.coinafrique.com/thumb_3432590_uploaded_image2_1636625019.jpeg,Dakar Plateau, Dakar
Chaussuresorthopédiques,4500,https://images.coinafrique.com/thumb_3429468_uploaded_image1_1636466917.jpg,Grand Yoff, Dakar
Sandalespetites,2000,https://images.coinafrique.com/thumb_3415129_uploaded_image1_1635810651.jpg,Mbao, Dakar
Chaussures,2000,https://images.coinafrique.com/thumb_3415124_uploaded_image1_1635810270.jpg,Mbao, Dakar
Sandales,1500,https://images.coinafrique.com/thumb_3401227_uploaded_image1_1635079924.jpg,Patte d'oie, Dakar
Sandales,1500,https://images.coinafrique.com/thumb_3401225_uploaded_image1_1635079810.jpg,Patte d'oie, Dakar
Baskets,14000,https://images.coinafrique.com/thumb_3398164_uploaded_image1_1634895995.jpg,Guediawaye, Dakar
Chaussurespour,12000,https://images.coinafrique.com/thumb_3391943_uploaded_image1_1634574064.jpg,Dakar, Sénégal
Chaussuresorthopédiques,6500,https://images.coinafrique.com/thumb_3378261_uploaded_image1_1633851365.jpg,Grand Yoff, Dakar
